pt_id,ndvi,rainfall_mm,dist_to_water,elevation,slope,curvature_profile,twi,drainage_density,lulc_dw,label,year
730,0.6342315077781677,1949.1794471740723,994.0824915468535,16,1.9112874269485474,0.0,7.546394905498895,0.05729577951308232,1,0,2018
732,0.22076188027858734,2035.3064126968384,1712.3667831396401,14,2.30379319190979,4.243522582120561e-06,6.7474642565061655,0.0,4,0,2018
761,0.4278715252876282,1195.3982195132703,1476.1097520171054,17,3.1476049423217773,6.413332518726179e-07,7.3577821468342535,0.0,4,0,2018
762,0.2378188967704773,1141.709712878568,381.8376618407356,27,1.0504848957061768,-1.0283780637473121e-07,8.931406092951878,0.25783100780887047,4,0,2018
766,0.5125359296798706,1258.000054107706,1207.4767078498865,19,1.419717788696289,-1.7024533024001984e-07,6.759782639723103,0.0,6,0,2018
768,0.5454100966453552,1803.2237828187644,360.0,15,2.839812755584717,1.4450793248882698e-06,7.148586536615313,0.9453803619658584,1,0,2018
769,0.27294817566871643,1875.219993069768,1272.7922061357856,16,2.3072876930236816,-8.948925173179413e-07,6.81650429970634,0.0,4,0,2018
772,0.6060867309570312,1869.0075533390045,636.3961030678928,28,2.839615821838379,0.0,8.142752748833765,0.31512678732195276,1,0,2018
774,0.39786863327026367,1790.9075421094894,1747.483905505284,24,0.9559096097946167,-2.0567561274946242e-07,9.336283818082272,0.0,4,0,2018
785,0.42911478877067566,2193.0365550518036,450.0,11,2.09932541847229,-6.742761667261226e-08,7.452087054674994,0.48701412586119974,6,0,2018
803,0.8567047715187073,2491.6000142097473,853.8149682454624,70,10.922943115234375,-2.4824101376911834e-05,6.233830597493803,0.20053522829578813,1,0,2018
806,0.24049608409404755,1084.893667684868,284.60498941515414,20,2.8408548831939697,-7.856740827956636e-07,7.4118919863544415,0.8594366926962349,4,0,2018
807,0.5426496863365173,1065.030832529068,1484.3180252223578,26,0.0,-1.607426567205401e-08,13.535819136244818,0.0,1,0,2018
814,0.6547039151191711,1751.8859726190567,1272.7922061357856,28,0.9559096097946167,-1.0283780637473121e-07,7.411817415684653,0.0,1,0,2018
818,0.49320557713508606,1955.4681079387665,90.0,13,7.073591709136963,-1.638932048334992e-05,6.661214337317551,1.088619810748564,3,0,2018
820,0.6256541013717651,1911.475775361061,1988.164983093707,23,0.9559096097946167,5.142961434309607e-08,8.533236672078276,0.0,1,0,2018
828,0.5694048404693604,1858.1320152282715,2336.535897434491,19,3.687267541885376,-9.910249275191662e-08,7.816250776045888,0.0,1,0,2018
831,0.2613382935523987,2235.205284833908,939.6275858019495,9,1.0520985126495361,7.389543423839475e-08,10.037079085181054,0.02864788975654116,4,0,2018
840,0.16044817864894867,2630.5018051862717,360.0,15,4.613666534423828,-6.763640303863786e-06,9.058219214786332,0.716197243913529,4,0,2018
854,0.1773400604724884,1788.446725487709,402.49223594996215,14,3.6883909702301025,1.8418660758772385e-06,9.143663599597835,0.544309905374282,4,0,2018
862,0.1611734926700592,1968.548736691475,1890.0,14,1.42243230342865,1.4460813556694655e-07,13.940193346239067,0.0,4,0,2018
867,0.5928153395652771,2572.175233244896,1855.3975315279474,13,1.9112874269485474,-2.0756842847932536e-06,7.542667120926227,0.0,1,0,2018
873,0.5844899415969849,2206.2967710494995,636.3961030678928,20,3.162824869155884,-9.992327374353925e-07,7.142902932514891,0.45836623610465854,1,0,2018
874,0.23536252975463867,2446.860045671463,1337.9461872586655,16,1.4240453243255615,-2.0558996810607372e-07,10.343273316045046,0.0,4,0,2018
878,0.36418405175209045,2156.455112218857,270.0,21,3.5582470893859863,2.656696985377357e-07,12.25173204978536,0.6302535746439055,4,0,2018
880,0.5490678548812866,2531.276481151581,1361.94713553794,31,2.318218469619751,-2.5980750502778956e-07,7.8337544600891675,0.0,4,0,2018
882,0.16664351522922516,1444.2732902914286,201.24611797498108,0,0.0,0.0,11.068939085462002,1.1459155902616465,0,1,2017
887,-0.061315495520830154,1460.586840838194,917.8235124467012,0,0.0,0.0,11.06918577907044,0.08594366926962349,0,1,2016
889,-0.12344615906476974,1403.8351255655289,763.6753236814712,0,0.0,0.0,11.068859232119838,0.31512678732195276,0,1,2017
891,-0.022643866017460823,1392.1899480819702,969.3296652842107,0,0.0,0.0,16.255962807554116,0.02864788975654116,0,1,2017
895,-0.03404006361961365,1502.9213531315327,127.27922061357856,0,3.530332326889038,-1.2271959676989078e-06,6.947917058620408,0.9453803619658584,0,1,2017
897,-0.012133577838540077,1434.6583634465933,814.9846624323676,0,0.0,0.0,11.762089290637775,0.31512678732195276,0,1,2017
917,0.6689173579216003,1432.3705703020096,540.0,4,3.246662139892578,0.0,7.864713953178158,0.40107045659157625,1,1,2013
918,-0.07451803237199783,1433.530465722084,804.9844718999243,0,0.0,1.0279498405303683e-06,8.172771252960395,0.6016056848873643,0,1,2017
920,0.3180711567401886,1411.3226716518402,127.27922061357856,3,4.878964424133301,-2.166998737473267e-06,7.431627552716811,0.7448451336700701,0,1,2007
927,0.14483866095542908,1418.362408041954,180.0,-2,0.0,0.0,11.067066911801087,0.7448451336700701,0,1,2017
930,-0.2570967674255371,1478.8163074180484,540.0,0,0.0,0.0,17.26194283307287,0.37242256683503505,0,1,2017
931,0.336264967918396,1479.8775434494019,576.2811813689564,-2,0.0,0.0,7.074945696558176,0.45836623610465854,0,1,2017
937,0.42317068576812744,1427.8434458971024,1397.1757226634022,2,1.4087724685668945,0.0,8.173457089125518,0.0,0,1,2017
941,0.08422232419252396,1378.4884664416313,685.4195795277518,1,0.0,0.0,11.066837843465892,0.544309905374282,0,1,2017
950,0.7722440958023071,1345.8475651592016,284.60498941515414,3,2.0684211254119873,0.0,11.067710119977479,0.6302535746439055,3,1,2017
951,-0.11249364912509918,1303.1013725213706,1200.74976577137,1,0.0,0.0,7.866027690022172,0.0,0,1,2017
953,0.23020188510417938,1404.5234016776085,1440.0,1,0.9559096097946167,5.143497131557847e-08,12.768735957289602,0.0,4,1,2017
962,-0.03288310021162033,1436.340654373169,768.9603370785777,2,3.1064765453338623,-1.0680975206698011e-06,8.944686635729562,0.20053522829578813,0,1,2017
988,0.05400105193257332,1533.5009167790413,886.3972021616494,-2,0.0,0.0,14.998002154282373,0.1432394487827058,0,1,2017
994,-0.05923463776707649,1439.563336521387,402.49223594996215,3,0.0,1.607426567205401e-08,11.759840028661605,0.37242256683503505,0,1,2016
995,0.10550963878631592,1465.731002420187,1350.0,1,3.0464799404144287,9.586436791855868e-07,7.559328903604235,0.0,0,1,2017
1004,0.06621688604354858,1390.1795047521591,900.0,1,1.9112874269485474,1.3172664364235588e-07,10.734650969833432,0.31512678732195276,0,1,2017
1008,-0.384137362241745,1790.8201777935028,1738.188712424517,-1,0.0,0.0,13.625312505387631,0.0,0,1,2017
1020,-0.3514297306537628,1867.106998205185,1855.3975315279474,-1,0.0,0.0,13.62462278223479,0.0,0,1,2017
1051,0.48646309971809387,1862.3366832733154,1508.674915281619,8,2.829329490661621,-7.182932420973316e-07,7.420945616768704,0.0,4,1,2017
1059,-0.07637306302785873,2015.6959805488586,90.0,0,0.0,0.0,12.848896645726755,1.1172677005051053,0,1,2017
1061,0.36963313817977905,2184.8598914146423,1200.74976577137,7,2.8309922218322754,-2.9212553010334617e-07,7.419633025990484,0.0,4,1,2017
1074,0.0752122774720192,1464.9331576824188,201.24611797498108,8,2.1782333850860596,5.384959316032443e-07,7.156900299860212,0.8021409131831525,0,1,2018
1104,0.07306140661239624,2243.5943083763123,90.0,5,3.1386802196502686,-1.2826665037452358e-06,7.00807402460895,1.088619810748564,4,1,2017
